ald	dod
0 	2.63
1 	0.25
2 	0.10
3 	0.11
4 	0.08
5 	0.12
6 	0.06
7 	0.07
8 	0.08
9 	0.09
10 	0.09
11 	0.09
12 	0.08
13 	0.10
14 	0.11
15 	0.14
16 	0.25
17 	0.36
18 	0.49
19 	0.44
20 	0.55
21 	0.49
22 	0.51
23 	0.40
24 	0.50
25 	0.53
26 	0.50
27 	0.50
28 	0.60
29 	0.61
30 	0.59
31 	0.61
32 	0.62
33 	0.56
34 	0.68
35 	0.70
36 	0.78
37 	0.68
38 	0.77
39 	0.82
40 	0.89
41 	1.04
42 	1.04
43 	1.21
44 	1.19
45 	1.34
46 	1.56
47 	1.76
48 	1.88
49 	2.09
50 	2.34
51 	2.64
52 	2.90
53 	3.07
54 	3.57
55 	3.95
56 	4.12
57 	4.53
58 	4.99
59 	5.77
60 	6.15
61 	6.66
62 	7.61
63 	8.15
64 	8.94
65 	9.85
66 	11.16
67 	12.39
68 	13.21
69 	14.27
70 	14.90
71 	17.62
72 	19.16
73 	21.57
74 	23.41
75 	27.16
76 	29.44
77 	33.11
78 	37.93
79 	42.59
80 	47.95
81 	54.66
82 	61.14
83 	69.47
84 	77.76
85 	88.08
86 	98.33
87 	110.02
88 	121.39
89 	138.43
90 	154.80
91 	170.89
92 	192.58
93 	210.18
94 	226.46
95 	256.88
96 	280.07
97 	300.34
98 	309.89
99 	328.98
100 	373.49
101 	381.78
102 	413.21
103 	397.03
104 	414.61
105 	397.93
106 	1000.00
